from_id,to_id,factor,location
8db68d81-3998-4b52-af19-2beb2ac9a98e,IC_EF_LAND_USE,1.1638E+02,PL
aa9dc400-929f-48c8-86c6-628f34a0efa3,IC_EF_LAND_USE,1.3918E+02,DE
fe0acd60-3ddc-11dd-aac3-0050c2490048,IC_EF_RESOURCE_MINERALS,2.02E-09,
e29e7755-623d-47fb-b2ac-c0615a1b709f,IC_EF_LAND_USE,-1.2124E+02,GR
6f4ecdc5-0cf7-430b-9c66-8efe4113b2a2,IC_EF_LAND_USE,136,
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-8.8822E+01,SE
fe0acd60-3ddc-11dd-a7c1-0050c2490048,IC_EF_RESOURCE_MINERALS,2.50E-02,
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,2.9474E+02,IN
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,4.0157E+02,SK
b0744c5e-9859-470f-99dc-b117be5a32c5,IC_EF_LAND_USE,1.7921E+02,MK
d4008b63-fb71-4e00-bfda-3528c9c7e40d,IC_EF_LAND_USE,-8.5675E+01,SE
933debfd-2aa5-4a35-b07b-2732350ea29c,IC_EF_LAND_USE,8.5978E+01,ZA
e29e7755-623d-47fb-b2ac-c0615a1b709f,IC_EF_LAND_USE,-1.3992E+02,DK
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,7.82E+00,TH
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,5.26E+01,KZ
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-1.1209E+02,UA
9699a63f-c966-43a4-816c-b1fbbf0a3e88,IC_EF_LAND_USE,-1.0227E+02,MK
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,1.9181E+02,GB
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,3.1194E+02,SL
91e86b1f-98b2-433a-8356-cfc2b2b2a7c4,IC_EF_LAND_USE,1.7494E+02,IE
1729ef88-6556-11dd-ad8b-0800200c9a66,IC_EF_WATER_USE,1.97E+00,EE
1a00b335-af6e-47db-bc23-012f2c0642ab,IC_EF_LAND_USE,7.3581E+01,ES
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,1.37E+01,RS
91e86b1f-98b2-433a-8356-cfc2b2b2a7c4,IC_EF_LAND_USE,98.7,
1729ef88-6556-11dd-ad8b-0800200c9a66,IC_EF_WATER_USE,1.94E+00,FI
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,7.77E+01,ES
e29e7755-623d-47fb-b2ac-c0615a1b709f,IC_EF_LAND_USE,-1.0878E+02,SE
08a91e70-3ddc-11dd-9f78-0050c2490048,IC_EF_RESOURCE_MINERALS,4.43E-04,
